year,i_iso3,pop
2018,HKG,7371728
2018,IDN,267670549
2018,IND,1352642283
2018,IRN,81800204
2018,JPN,127202190
2018,KHM,16249795
2018,KIR,115842
2018,KOR,51171700
2018,LAO,7061498
2018,LKA,21228760
2018,MAC,631633
2018,MDV,515704
2018,MHL,58412
2018,MMR,53708318
2018,MNG,3170214
2018,MNP,56889
2018,MYS,31528033
2018,NCL,279986
2018,NIU,1610
2018,NPL,28095712
2018,NRU,10678
2018,NZL,4743131
2018,PAK,212228288
2018,PHL,106651394
2018,PLW,17911
2018,PNG,8606324
2018,PRK,25549606
2018,PYF,277673
2018,ROA,343083397
2018,SCA,642106332
2018,SGP,5757503
2018,SLB,652856
2018,THA,69428454
2018,TKL,1318
2018,TLS,1267975
2018,TON,103199
2018,TUV,11505
2018,TWN,23726460
2018,USA,327096263
2018,VNM,95545959
2018,VUT,292675
2018,WLF,11653
2018,WSM,196128
2019,AFG,38041757
2019,AFR,1323123794
2019,ASM,55312
2019,AUS,25203200
2019,BGD,163046173
2019,BRN,433296
2019,BTN,763094
2019,CAN,37411038
2019,CHN,1433783692
2019,COK,17547
2019,EUR,745050680
2019,FJI,889955
2019,FSM,113811
2019,GUM,167295
2019,HKG,7436157
2019,IDN,270625567
2019,IND,1366417756
2019,IRN,82913893
2019,JPN,126860299
2019,KHM,16486542
2019,KIR,117608
2019,KOR,51225321
2019,LAO,7169456
2019,LKA,21323734
2019,MAC,640446
2019,MDV,530957
2019,MHL,58791
2019,MMR,54045422
2019,MNG,3225166
2019,MNP,57213
2019,MYS,31949789
2019,NCL,282757
2019,NIU,1614
2019,NPL,28608715
2019,NRU,10764
2019,NZL,4783062
2019,PAK,216565317
2019,PHL,108116622
2019,PLW,18001
2019,PNG,8776119
2019,PRK,25666158
2019,PYF,279285
2019,ROA,348536904
2019,SCA,648008684
2019,SGP,5804343
2019,SLB,669821
2019,THA,69625581
2019,TKL,1330
2019,TLS,1293120
2019,TON,104497
2019,TUV,11655
2019,TWN,23773881
2019,USA,329064917
2019,VNM,96462108
2019,VUT,299882
2019,WLF,11436
2019,WSM,197093
